personelid	durakid
12	1637
14	1649
15	1479
19	1758
22	1231
34	1486
36	1553
38	416
55	1597
66	1828
67	1800
69	1771
70	1869
73	1485
76	850
85	1602
90	1546
96	1318
102	1669
103	1717
109	1062
110	1551
111	226
112	1226
124	1446
127	1588
135	787
141	1160
142	814
145	1714
148	1223
149	849
167	371
169	1701
183	1759
188	372
197	504
199	563
203	3
204	1512
211	488
212	519
214	1504
215	1637
227	1811
228	1707
230	1599
235	1635
239	515
241	1825
246	374
258	1578
259	97
262	1446
264	1860
268	1661
274	517
281	1675
282	1372
287	1455
290	1553
293	1515
303	495
305	1442
311	1786
318	1707
322	512
325	1099
326	1096
327	247
329	1827
330	499
335	1447
341	1485
342	1598
343	63
346	499
351	1696
353	1388
354	1453
355	1445
359	1698
361	1514
364	504
366	511
367	1777
368	894
372	1540
378	1823
380	1645
381	1593
383	1604
385	1785
386	1311
388	1132
398	1315
403	1499
408	1568
418	1690
423	1562
425	1627
426	1228
428	493
434	1551
435	1809
439	1785
440	1671
442	894
443	1829
448	1204
453	1549
454	1465
463	820
470	698
471	564
480	1833
483	1596
489	503
490	493
495	1316
496	1803
497	1596
504	530
507	1308
511	372
513	1627
516	1462
517	1460
524	1704
529	694
530	822
536	489
538	1544
539	788
555	1801
556	787
560	1676
563	508
565	1633
568	1123
569	1851
570	1388
578	1371
582	1203
586	1549
596	533
597	695
608	1225
613	1760
614	1636
615	1672
618	1594
620	1502
621	1315
622	1906
625	814
626	498
627	533
630	1896
635	1463
636	700
642	1599
651	498
652	1616
655	822
659	1541
662	1059
667	1501
668	374
673	1574
685	1702
692	822
695	1347
710	814
718	1485
725	787
731	1499
732	1637
735	66
739	1645
743	1681
745	1611
751	1533
755	1595
766	1801
768	701
769	1561
772	1150
783	1353
787	1500
796	1701
798	1809
803	1516
805	816
806	1605
808	849
809	1503
815	1314
816	563
818	1625
819	1570
826	495
828	245
830	824
841	504
850	1629
856	822
857	1648
859	1455
860	1441
868	1800
871	1766
875	697
877	1709
880	1437
882	504
883	490
884	1451
886	855
892	1568
894	563
896	504
901	1547
904	1544
911	230
915	1616
916	726
919	1627
920	823
921	823
924	1512
925	1826
929	493
930	1701
932	1604
934	1540
935	1710
936	1826
940	1561
942	1461
951	1786
960	854
962	1648
972	1591
977	1099
978	1367
979	488
984	1315
986	1627
990	1444
993	518
996	1644
999	1600
1006	1578
1007	1628
1015	194
1018	1153
1024	1648
1028	1571
1033	1652
1036	1606
1048	1499
1051	1152
1053	535
1054	193
1056	889
1058	1713
1059	248
1065	515
1066	1826
1069	495
1073	1675
1077	504
1081	1150
1092	927
1098	519
1100	1862
1104	1578
1115	1453
1116	1439
1119	1670
1120	1514
1126	1100
1131	1762
1134	819
1142	1374
1143	1839
1146	1488
1148	1451
1150	852
1153	1334
1155	1500
1157	793
1159	823
1164	1853
1169	1756
1171	1857
1179	1539
1183	511
1191	1311
1194	1126
1209	1653
1215	788
1218	1838
1221	1553
1227	1641
1230	1592
1231	1813
1237	1616
1243	1502
1244	1645
1250	516
1253	363
1255	1314
1257	788
1261	1706
1267	514
1270	1562
1275	563
1278	228
1279	1317
1281	1463
1293	1623
1297	727
1301	730
1302	1779
1303	820
1305	1667
1308	729
1309	1758
1315	226
1316	1546
1317	1317
1319	1095
1320	788
1338	1480
1347	634
1362	860
1365	1641
1366	1800
1367	495
1369	814
1375	1817
1400	1805
1401	927
1403	499
1406	1130
1415	1623
1416	1633
1418	1512
1422	536
1426	1670
1429	1648
1430	1093
1433	1618
1435	1517
1436	687
1439	1457
1443	1860
1447	1389
1450	535
1453	814
1454	1515
1455	1768
1459	1204
1461	700
1464	1648
1465	1651
1468	1854
1469	488
1472	1596
1473	512
1474	1714
1477	1826
1485	1318
1489	1640
1496	1447
1497	1628
1500	1776
1507	1543
1512	1758
1515	1549
1519	1647
1523	1773
1525	490
1526	822
1527	787
1537	1671
1539	1750
1541	374
1543	1373
1544	495
1549	1706
1557	530
1569	1769
1571	1529
1572	1590
1577	1353
1580	1786
1581	1830
1587	1203
1590	1816
1597	1704
1605	1499
1606	1662
1607	1315
1609	897
1611	503
1613	850
1615	1579
1630	504
1633	1770
1636	416
1637	1450
1643	1153
1656	883
1660	1375
1664	1777
1667	1318
1670	59
1671	495
1677	504
1678	728
1683	876
1684	822
1689	1204
1692	66
1697	1761
1707	927
1710	305
1717	893
1720	1147
1721	1654
1725	1456
1728	1535
1733	230
1734	1232
1735	1758
1739	1515
1740	753
1758	1098
1759	1815
1760	1353
1762	1781
1766	499
1771	1499
1773	1525
1781	1099
1788	868
1789	1124
1796	372
1801	1632
1809	788
1810	1059
1813	1224
1817	823
1822	498
1825	253
1829	1308
1830	1147
1835	564
1836	695
1840	927
1842	1702
1843	513
1846	816
1852	1783
1858	865
1861	819
1871	1685
1876	503
1877	786
1882	1537
1885	900
1886	898
1888	1308
1905	1562
1915	499
1916	1615
1917	488
1923	1446
1929	1812
1930	504
1933	1766
1942	1093
1947	1579
1956	253
1960	1768
1967	1512
1971	1541
1973	1572
1981	1653
1987	1767
1989	1644
1995	1694
2009	850
2011	515
2012	227
2013	758
2016	1627
2020	1604
2022	1570
2026	1151
2037	372
2039	1230
2042	1904
2046	563
2047	1571
2048	1761
2049	513
2051	1123
2053	254
2059	1833
2060	1445
2063	1586
2067	1444
2069	1674
2071	534
2074	490
2077	1646
2078	1440
2084	1761
2099	375
2103	1228
2104	899
2105	363
2109	228
2120	503
2121	1537
2123	504
2125	1858
2132	1809
2134	504
2139	854
2144	1832
2151	1602
2153	1100
2154	1609
2158	1823
2163	1562
2164	1762
2165	1648
2166	1504
2167	1464
2172	1628
2174	1528
2177	1634
2178	504
2183	96
2186	1579
2197	1623
2204	1314
2205	1858
2214	1608
2215	1815
2226	814
2227	1152
2228	59
2229	1437
2233	1628
2235	1146
2236	1453
2237	814
2238	1777
2239	504
2243	513
2253	1576
2257	1672
2262	1232
2263	1816
2267	1758
2274	820
2276	1662
2277	1766
2279	1545
2283	535
2285	1778
2302	1366
2303	1439
2304	1759
2306	1700
2307	1590
2312	512
2316	1373
2320	1764
2339	227
2344	1309
2357	1561
2359	1640
2365	1145
2379	372
2381	788
2384	1458
2385	1628
2386	1710
2394	754
2401	1635
2404	1694
2416	814
2430	1699
2435	1513
2443	853
2451	1452
2459	499
2460	489
2462	1541
2464	1699
2466	1695
2484	305
2492	820
2497	1545
2498	701
2499	871
2502	1646
2511	57
2514	1479
2518	1701
2529	1691
2532	1460
2533	1230
2540	1579
2547	1517
2549	64
2551	1230
2557	1093
2558	1548
2560	820
2564	1627
2567	1582
2584	1098
2589	515
2590	850
2599	1131
2611	190
2614	1625
2615	1441
2620	1465
2626	1561
2632	1482
2633	495
2651	1309
2663	879
2664	1578
2668	1758
2672	1435
2674	495
2677	1700
2679	504
2690	1695
2697	1830
2699	788
2701	564
2708	1512
2712	498
2717	1769
2718	1824
2726	488
2728	1703
2733	494
2734	1618
2736	57
2738	512
2752	1315
2754	851
2762	1060
2763	1370
2767	1543
2768	1058
2770	1127
2772	1629
2775	1685
2791	1692
2800	819
2820	1833
2825	32
2826	1707
2848	1649
2850	1486
2855	363
2858	1706
2862	1203
2863	1785
2864	503
2865	1672
2867	701
2868	1759
2870	1348
2871	1550
2873	514
2885	1625
2888	1639
2889	1698
2890	1758
2893	1638
2895	1777
2897	1707
2902	1484
2903	1770
2906	1839
2909	1525
2912	1444
2913	1536
2919	788
2920	1145
2930	1503
2942	1546
2943	1695
2945	1852
2953	787
2959	1626
2960	1628
2961	1060
2966	1223
2967	1202
2973	1535
2975	504
2976	1837
2977	1595
2988	1463
2991	254
2992	1586
2996	1808
3003	1782
3008	1574
3010	1527
3011	1525
3017	1759
3019	819
3020	1203
3025	489
3031	564
3033	1681
3035	1803
3036	504
3037	1623
3038	1777
3041	1713
3048	1100
3052	1446
3053	1641
3054	1160
3057	1758
3058	1310
3060	727
3061	1785
3064	1892
3066	697
3071	1372
3074	504
3075	1602
3077	1694
3079	1551
3084	1095
3085	504
3086	1544
3091	1232
3092	1595
3098	897
3099	816
3103	695
3112	1561
3118	1609
3123	788
3124	537
3127	246
3128	1478
3129	1366
3130	494
3131	1147
3132	1637
3136	371
3137	1230
3138	1445
3142	890
3145	1694
3148	1153
3154	504
3155	814
3156	1313
3162	1581
3170	1785
3172	823
3173	1780
3176	1617
3184	1100
3187	494
3195	490
3197	1851
3200	1699
3202	819
3205	495
3215	1698
3222	816
3226	1896
3231	1541
3232	1513
3234	1092
3242	890
3246	1617
3247	849
3249	1445
3253	1699
3254	1702
3260	1526
3268	504
3279	816
3283	823
3287	1317
3289	1634
3294	537
3296	1546
3299	1512
3320	1637
3322	1668
3326	1638
3327	1515
3338	1499
3339	1782
3345	504
3346	927
3351	822
3352	1833
3357	514
3358	1308
3366	1830
3377	1526
3379	416
3387	96
3393	1365
3394	1444
3396	1374
3402	1350
3406	504
3408	515
3410	1131
3417	1891
3422	698
3423	1437
3438	1815
3457	1582
3465	788
3470	1662
3477	1130
3490	1203
3503	1316
3505	894
3506	1606
3510	1774
3513	819
3515	1547
3520	1523
3524	1775
3526	1822
3531	1595
3533	34
3534	687
3541	1713
3542	196
3544	1728
3549	1716
3551	1653
3554	1685
3555	498
3556	1629
3557	1801
3558	1801
3562	1662
3566	1698
3567	1203
3582	1502
3587	696
3590	1389
3594	1808
3599	1806
3601	814
3604	701
3608	1646
3610	1699
3620	1703
3621	1537
3624	499
3627	1561
3631	512
3639	1316
3640	1783
3646	1649
3649	1681
3659	879
3662	534
3667	1124
3674	1766
3678	1308
3679	1537
3683	1462
3687	895
3688	1598
3695	1781
3697	1333
3699	1640
3703	515
3707	1463
3710	1608
3711	1628
3712	533
3715	1644
3718	1716
3725	1758
3744	1894
3745	1702
3753	1568
3754	1694
3759	504
3760	1639
3765	1648
3768	536
3769	1441
3774	1816
3779	1693
3780	515
3781	1131
3782	1700
3789	246
3793	786
3794	1388
3795	536
3796	535
3798	1229
3800	1451
3803	889
3806	1130
3809	1371
3814	792
3822	513
3829	898
3832	1502
3833	63
3834	193
3846	247
3849	1807
3851	1857
3852	504
3854	248
3855	515
3867	254
3871	1593
3873	374
3878	1670
3880	1514
3881	1713
3882	1862
3889	1353
3903	515
3906	230
3908	1667
3912	1539
3915	245
3919	1536
3921	754
3924	1569
3930	1762
3937	1439
3938	1643
3949	1203
3950	374
3951	1758
3952	230
3958	1522
3962	701
3971	1152
3975	512
3976	1759
3978	1783
3980	1310
3983	1534
3984	1750
3986	518
4007	1640
4008	511
4016	1623
4019	19
4023	1777
4025	1641
4027	1762
4031	494
4041	504
4043	1150
4054	1372
4076	1815
4080	534
4093	1224
4107	97
4109	822
4116	1579
4118	814
4127	1352
4133	1203
4138	1628
4142	1833
4145	228
4150	1460
4152	1714
4155	754
4158	1691
4161	1098
4163	754
4170	515
4187	498
4191	1484
4193	1316
4196	1443
4202	1444
4205	822
4206	1562
4209	1485
4212	1549
4215	1696
4220	492
4222	1317
4226	536
4239	244
4248	196
4250	1486
4262	1667
4266	1504
4269	1681
4271	1667
4284	883
4287	1131
4294	536
4295	1369
4299	1504
4310	793
4314	489
4323	489
4325	1827
4332	899
4335	1606
4341	1582
4344	1695
4368	788
4372	788
4381	515
4382	1125
4385	65
4389	754
4392	816
4393	1596
4398	1522
4399	491
4400	530
4401	1484
4402	536
4403	1562
4405	194
4406	194
4421	1499
4424	1758
4429	1127
4430	1203
4431	1537
4432	1815
4436	1758
4437	228
4439	695
4440	697
4441	1504
4442	816
4443	1463
4444	1599
4445	1562
4446	1501
4447	1826
4448	1499
4449	1579
4450	1699
4451	1911
4452	1604
4453	1807
4454	1457
4482	822
4485	1532
4486	1673
4487	194
4488	1677
4491	1625
4492	1758
4494	814
4495	1691
4496	226
4497	499
4499	1229
4505	1600
4506	1589
4507	1758
4510	1805
4511	823
4513	1692
4514	696
4515	701
4516	698
4517	927
4518	1370
4519	1648
4520	1758
4521	1859
4522	1758
4523	98
4524	1758
4525	1822
4526	1453
4527	1499
4528	513
4529	1857
4530	1456
4531	1694
4532	98
4533	1599
4534	1589
4535	895
4536	1603
4538	57
4540	1527
4541	1589
4542	1093
4543	1654
4545	190
4546	94
4547	1100
4548	1499
4550	854
4552	1693
4554	1615
4555	1552
4556	1758
4557	1499
4558	1854
4559	1608
4560	1762
4562	1347
4563	1859
4564	1867
4565	1499
4566	1347
4568	1096
4569	1062
4570	1127
4571	1602
4572	194
4573	1809
4574	370
4575	1673
4576	34
4577	1695
4578	1685
4579	228
4580	1858
4581	1822
4582	1581
4583	1454
4584	1833
4585	1232
4586	788
4587	1891
4588	498
4590	1717
4591	1437
4592	228
4593	1626
4594	1314
4595	1699
4596	1641
4597	1816
4598	1131
4599	1590
4600	34
4602	895
4603	1634
4604	1125
4608	68
4626	1351
4629	729
4676	194
4801	1907
4905	1904
4990	1444
5073	726
5078	1905
5086	895
5169	68
5232	1891
5378	1516
5518	1905
5567	1348
5570	1902
5604	1782
5625	1903
5643	1897
5678	1516
5724	723
5743	1351
5805	1900
5823	1350
5834	1351
5882	1891
5961	1917
5973	729
6099	1896
6122	1890
6149	1895
6228	1712
6232	1891
6239	1908
6253	1348
6255	1907
6274	728
6298	1909
6315	1892
6396	1727
6505	1909
6541	1599
6557	1891
6649	1891
6699	1891
6730	729
6732	1894
6736	1905
6780	730
6810	1890
6817	725
6876	1904
6956	1916
6974	727
7003	1892
7007	729
7022	1890
7053	1910
7063	1901
7072	1910
7097	1351
7146	1125
7151	1457
7152	1523
7154	1905
7158	564
7164	1352
7165	1606
7167	1606
7168	1537
7175	1672
7194	1452
