durakid	durakadi	enlem	boylam	sira	guzergahid
3	1.ÇILDIR GÖLÜ CD. BAŞI	39.796622974389535	32.843240271411105	3	1
4	2.BEYŞEHİR GÖLÜ CD.	39.7888207	32.847502299999974	4	1
1683	3.CUMHURİYET CD. SEĞMENLER CD. KESİŞTİGİ YER	39.79161631319568	32.81770851111446	1627	1
1684	4.ANKARA KONYA YOLU YANYOL 278 SK. BAŞI.	39.7909752	32.80663770000001	1628	1
1700	5.RAFET CANITEZ CD.	39.8487163	32.81978619999995	1644	1
1701	6.A.FUAT CEBESOY SK-HAYRİ ÇEÇEN SK KESİŞTİGİ YER.	39.8503188	32.816138000000024	1645	1
1702	7.HAYRİ ÇEÇEN SK- SABRİ KILINÇ SK KESİŞTİGİ YER.	39.8470749	32.816070999999965	1646	1
1722	8.BAKANLIK HİZMET BİNASI	39.9107406	32.79266170000005	1666	1
19	1.ŞEMSETTİN GÜNALTAY CD.277. SK KESİŞTİGİ YER.	39.9036104	32.884110599999985	19	5
1223	2.ŞEMSETTİN GÜNALTAY CD. 257. SK KESİŞTİGİ YER KESİŞTİGİ YER.	39.90098649999999	32.883958699999994	1170	5
1224	3.ŞEMSETTİN GÜNALTAY CD. 291. SK KESİŞLTİGİ YER KESİŞTİGİ YER.	39.8929966	32.88641949999999	1171	5
1225	4.ŞEMSETTİN GÜNALTAY CD. 324. SK KESİŞTİGİ YER KESİŞTİGİ YER.	39.8897999	32.88381079999999	1172	5
1226	5.UĞURMUMCU CD, KOZA SK KESİŞTİGİ YER KESİŞTİGİ YER.	39.89686571707036	32.88010997301649	1173	5
1227	durakadi	39.8942834	32.87741200000005	1174	5
1228	7.KAHRAMAN KADIN SK. KOZA SK KESİŞTİGİ YER.	39.8930287	32.87889519999999	1175	5
1229	8.KOZA SK KÜPE SK KESİŞTİGİ YER.	39.8915461	32.876847699999985	1176	5
1230	9.KULELİ SK FİLİSTİN SK KESİŞTİGHİ YER.	39.8965961	32.87343520000002	1177	5
1231	10FİSKİYE SK. HÜLYA SK KESİŞTİGİ YER.	39.9006341	32.87181829999997	1178	5
1232	11PARK SK .YAVUZEVLER SK. KESİŞTİGİ YER	39.9032462	32.87601050000001	1179	5
1435	12.BAĞLAR CD. TEKMAN CD KESİŞTİGİ YER.	39.9083356	32.871095800000035	1382	5
1823	13.BAĞLAR CD FEHMİYE SK KESİŞTİGİ YER	39.9120518	32.87038000000007	1767	5
1824	14. YAPRAK SK BALLIBABA KESİŞTİGİ YER	39.9134804	32.86775590000002	1768	5
1825	15.YAPRAK SK BÜLBÜLDERESİ CD KESİŞTİĞİ YER	39.9120911	32.86554460000002	1769	5
1826	16.YAPRAK SK. AKYÜZ SK KESİŞTİGİ YER	39.91084980000001	32.863876300000015	1770	5
1827	17. YAPRAK SK. ESAT CD KESİŞTİGİ YER	39.90969219999999	32.86317819999999	1771	5
1828	08.ESAT CD BÜYÜKELÇİ SK KESİŞTİGİ YER	39.90838696168821	32.86483423928678	1772	5
