guzergahid	durakid
1	3
1	4
1	1683
1	1684
1	1700
1	1701
1	1702
1	1722
5	19
5	1223
5	1224
5	1225
5	1226
5	1227
5	1228
5	1229
5	1230
5	1231
5	1232
5	1435
5	1823
5	1824
5	1825
5	1826
5	1827
5	1828
5	1829
5	1830
5	1884
6	32
6	634
6	1365
6	1366
6	1367
6	1368
6	1369
6	1505
6	1871
7	34
7	1568
7	1569
7	1570
7	1571
7	1572
7	1573
7	1574
7	1575
7	1576
7	1577
7	1578
7	1579
7	1876
9	57
9	58
9	59
9	60
9	63
9	64
9	65
9	66
9	883
9	1886
10	68
10	1348
10	1350
10	1351
10	1352
10	1353
12	1333
12	1334
12	1347
12	1388
12	1389
12	1699
12	1731
13	94
13	96
13	97
13	98
13	1154
13	1155
13	1279
14	1202
14	1203
14	1204
14	1306
14	1307
14	1308
14	1309
14	1310
14	1311
14	1313
14	1832
14	1833
14	1866
17	1499
17	1500
17	1501
17	1502
17	1503
17	1504
17	1831
18	1462
18	1463
18	1464
18	1465
18	1777
18	1778
18	1779
18	1780
18	1781
18	1782
18	1783
18	1784
19	1450
19	1451
19	1452
19	1453
19	1454
19	1455
19	1456
19	1457
19	1458
19	1459
19	1460
19	1461
19	1522
19	1523
19	1728
19	1863
20	1478
20	1479
20	1480
20	1481
20	1482
20	1484
20	1485
20	1486
20	1487
20	1488
20	1730
23	190
23	191
23	193
23	194
23	196
23	1615
23	1616
23	1617
23	1618
23	1677
23	1764
23	1869
23	1870
23	1878
24	865
24	868
24	871
24	873
24	876
24	1552
24	1553
24	1837
24	1838
24	1839
24	1885
25	849
25	850
25	851
25	852
25	853
25	854
25	855
25	857
25	860
25	879
25	1849
26	226
26	227
26	228
26	230
26	819
26	820
26	822
26	823
26	824
26	1160
26	1873
30	244
30	245
30	246
30	247
30	248
30	253
30	254
30	1685
30	1861
31	1587
31	1588
31	1589
31	1590
31	1591
31	1592
31	1593
31	1594
31	1595
31	1596
31	1696
31	1887
34	889
34	890
34	893
34	894
34	895
34	897
34	898
34	899
34	900
34	1268
35	1062
35	1528
35	1529
35	1530
35	1531
35	1532
35	1533
35	1534
35	1535
35	1536
35	1537
35	1754
36	305
36	1123
36	1124
36	1125
36	1126
36	1127
36	1130
36	1131
36	1132
36	1150
36	1525
36	1526
36	1527
36	1750
36	1803
36	1804
36	1850
37	927
37	1581
37	1582
37	1583
37	1584
37	1585
37	1586
37	1717
37	1822
37	1875
40	363
40	1058
40	1059
40	1060
40	1143
40	1144
40	1145
40	1146
40	1147
40	1151
40	1152
40	1153
40	1690
40	1691
40	1692
40	1756
40	1805
40	1806
40	1807
40	1808
40	1809
40	1882
41	370
41	371
41	372
41	374
41	375
41	1703
41	1704
41	1729
43	1632
43	1633
43	1634
43	1635
43	1636
43	1637
43	1638
43	1639
43	1640
43	1641
43	1643
43	1644
43	1645
43	1646
43	1735
44	416
44	694
44	695
44	696
44	697
44	698
44	699
44	700
44	701
44	1867
44	1868
45	1647
45	1648
45	1649
45	1650
45	1651
45	1652
45	1653
45	1654
45	1745
48	1667
48	1668
48	1669
48	1670
48	1671
48	1672
48	1673
48	1674
48	1675
48	1676
48	1711
48	1734
48	1759
48	1760
48	1874
50	488
50	489
50	490
50	491
50	492
50	493
50	494
50	495
50	498
50	499
50	1716
50	1742
51	511
51	512
51	513
51	514
51	515
51	516
51	517
51	518
51	519
51	687
51	1561
51	1562
51	1693
51	1710
51	1740
53	503
53	504
53	508
53	509
53	1243
53	1655
53	1656
53	1658
53	1789
53	1790
53	1791
53	1792
53	1793
53	1794
53	1795
53	1796
53	1797
53	1798
53	1881
54	1370
54	1371
54	1372
54	1373
54	1374
54	1375
54	1608
54	1609
54	1610
54	1611
54	1612
54	1738
55	1597
55	1598
55	1599
55	1600
55	1601
55	1602
55	1603
55	1604
55	1605
55	1606
55	1737
56	530
56	533
56	534
56	535
56	536
56	537
56	563
56	564
56	1694
56	1695
56	1698
56	1713
56	1714
56	1757
57	814
57	816
57	1511
57	1512
57	1513
57	1514
57	1515
57	1800
57	1801
57	1880
58	753
58	754
58	758
58	1540
58	1541
58	1542
58	1543
58	1544
58	1545
58	1546
58	1547
58	1548
58	1549
58	1550
58	1551
58	1799
59	786
59	787
59	788
59	792
59	793
59	1623
59	1624
59	1625
59	1626
59	1627
59	1628
59	1629
59	1785
59	1786
59	1872
60	1437
60	1439
60	1440
60	1441
60	1442
60	1443
60	1444
60	1445
60	1446
60	1447
60	1681
60	1682
60	1725
63	723
63	725
63	726
63	727
63	728
63	729
63	730
63	1516
63	1517
63	1712
63	1727
63	1890
70	1092
70	1093
70	1095
70	1096
70	1098
70	1099
70	1100
70	1109
70	1539
70	1709
70	1851
70	1879
71	1661
71	1662
71	1663
71	1758
71	1761
71	1762
71	1862
71	1865
75	1314
75	1315
75	1316
75	1317
75	1318
75	1706
75	1707
75	1721
76	1766
76	1767
76	1768
76	1769
76	1770
76	1771
76	1772
76	1773
76	1774
76	1775
76	1776
76	1836
77	1811
77	1812
77	1813
77	1814
77	1815
77	1816
77	1817
77	1883
78	1852
78	1853
78	1854
78	1855
78	1856
78	1857
78	1858
78	1859
78	1860
78	1877
80	1891
80	1892
80	1893
80	1894
80	1895
80	1896
80	1897
80	1898
80	1899
81	1900
81	1901
81	1902
81	1903
81	1904
81	1905
81	1906
81	1907
81	1908
81	1909
81	1910
81	1911
83	1916
83	1917
83	1918
83	1919
83	1920
83	1931
83	1933
83	1934
83	1935
83	1936
83	1937
